frame_idx,time_s,speaking,image,duration_s
97,3.88,1,frames_small/anim_Luca_mouth_closed.png,0.04
98,3.92,1,frames_small/anim_Luca_mouth_open.png,0.04
99,3.96,1,frames_small/anim_Luca_mouth_open.png,0.04
100,4.0,1,frames_small/anim_Luca_mouth_closed.png,0.04
101,4.04,1,frames_small/anim_Luca_mouth_closed.png,0.04
102,4.08,1,frames_small/anim_Luca_mouth_open.png,0.04
103,4.12,1,frames_small/anim_Luca_mouth_open.png,0.04
104,4.16,1,frames_small/anim_Luca_mouth_closed.png,0.04
105,4.2,1,frames_small/anim_Luca_mouth_closed.png,0.04
106,4.24,1,frames_small/anim_Luca_mouth_closed.png,0.04
107,4.28,1,frames_small/anim_Luca_mouth_open.png,0.04
108,4.32,1,frames_small/anim_Luca_mouth_open.png,0.04
109,4.36,1,frames_small/anim_Luca_mouth_closed.png,0.04
110,4.4,1,frames_small/anim_Luca_mouth_closed.png,0.04
111,4.44,1,frames_small/anim_Luca_mouth_open.png,0.04
112,4.48,0,frames_small/anim_Luca_mouth_closed.png,0.04
113,4.52,0,frames_small/anim_Luca_mouth_closed.png,0.04
114,4.56,0,frames_small/anim_Luca_mouth_closed.png,0.04
115,4.6,0,frames_small/anim_Luca_mouth_closed.png,0.04
116,4.64,0,frames_small/anim_Luca_mouth_closed.png,0.04
117,4.68,0,frames_small/anim_Luca_mouth_closed.png,0.04
118,4.72,1,frames_small/anim_Luca_mouth_open.png,0.04
119,4.76,1,frames_small/anim_Luca_mouth_closed.png,0.04
120,4.8,1,frames_small/anim_Luca_mouth_open.png,0.04
121,4.84,1,frames_small/anim_Luca_mouth_closed.png,0.04
122,4.88,1,frames_small/anim_Luca_mouth_open.png,0.04
123,4.92,1,frames_small/anim_Luca_mouth_open.png,0.04
124,4.96,1,frames_small/anim_Luca_mouth_closed.png,0.04
125,5.0,1,frames_small/anim_Luca_mouth_closed.png,0.04
126,5.04,1,frames_small/anim_Luca_mouth_closed.png,0.04
127,5.08,1,frames_small/anim_Luca_mouth_open.png,0.04
128,5.12,1,frames_small/anim_Luca_mouth_open.png,0.04
129,5.16,1,frames_small/anim_Luca_mouth_closed.png,0.04
130,5.2,1,frames_small/anim_Luca_mouth_closed.png,0.04
131,5.24,1,frames_small/anim_Luca_mouth_open.png,0.04
132,5.28,1,frames_small/anim_Luca_mouth_open.png,0.04
133,5.32,1,frames_small/anim_Luca_mouth_closed.png,0.04
134,5.36,1,frames_small/anim_Luca_mouth_closed.png,0.04
135,5.4,1,frames_small/anim_Luca_mouth_open.png,0.04
136,5.44,1,frames_small/anim_Luca_mouth_closed.png,0.04
137,5.48,1,frames_small/anim_Luca_mouth_open.png,0.04
138,5.52,1,frames_small/anim_Luca_mouth_open.png,0.04
139,5.56,1,frames_small/anim_Luca_mouth_closed.png,0.04
140,5.6,1,frames_small/anim_Luca_mouth_open.png,0.04
141,5.64,1,frames_small/anim_Luca_mouth_open.png,0.04
142,5.68,1,frames_small/anim_Luca_mouth_closed.png,0.04
143,5.72,1,frames_small/anim_Luca_mouth_open.png,0.04
144,5.76,1,frames_small/anim_Luca_mouth_open.png,0.04
145,5.8,1,frames_small/anim_Luca_mouth_closed.png,0.04
146,5.84,1,frames_small/anim_Luca_mouth_closed.png,0.04
147,5.88,1,frames_small/anim_Luca_mouth_open.png,0.04
148,5.92,1,frames_small/anim_Luca_mouth_closed.png,0.04
149,5.96,1,frames_small/anim_Luca_mouth_closed.png,0.04
150,6.0,1,frames_small/anim_Luca_mouth_closed.png,0.04
151,6.04,1,frames_small/anim_Luca_mouth_open.png,0.04
152,6.08,1,frames_small/anim_Luca_mouth_closed.png,0.04
153,6.12,1,frames_small/anim_Luca_mouth_closed.png,0.04
154,6.16,1,frames_small/anim_Luca_mouth_closed.png,0.04
155,6.2,1,frames_small/anim_Luca_mouth_open.png,0.04
156,6.24,1,frames_small/anim_Luca_mouth_open.png,0.04
157,6.28,1,frames_small/anim_Luca_mouth_closed.png,0.04
158,6.32,1,frames_small/anim_Luca_mouth_closed.png,0.04
159,6.36,1,frames_small/anim_Luca_mouth_open.png,0.04
160,6.4,1,frames_small/anim_Luca_mouth_open.png,0.04
161,6.44,1,frames_small/anim_Luca_mouth_closed.png,0.04
